time,group,geo,value
2020-01-01,alter_1529,ch,16.8853199106697
2020-01-01,alter_3064,ch,12.1933868784141
2020-01-01,alter_6579,ch,8.88195845316352
2020-01-01,erwerbstaetig,ch,12.5298865418
2020-01-01,in_ausbildung,ch,18.8613246982082
2020-01-01,maennlich,ch,12.9874654355132
2020-01-01,nicht_erwerbstaetig,ch,8.02693125398109
2020-01-01,tages_distanz_10-20km,ch,14.8697698459903
2020-01-01,tages_distanz_10-20km_alter_1529,ch,15.397870513213
2020-01-01,tages_distanz_10-20km_alter_3064,ch,15.0400831041793
2020-01-01,tages_distanz_10-20km_alter_6579,ch,13.4055958364033
2020-01-01,tages_distanz_100pluskm,ch,9.81636983168056
2020-01-01,tages_distanz_100pluskm_alter_1529,ch,9.74444179302962
2020-01-01,tages_distanz_100pluskm_alter_3064,ch,10.0166783872641
2020-01-01,tages_distanz_100pluskm_alter_6579,ch,9.09529618312881
2020-01-01,tages_distanz_2-10km,ch,21.3901293309627
2020-01-01,tages_distanz_2-10km_alter_1529,ch,18.4351428695935
2020-01-01,tages_distanz_2-10km_alter_3064,ch,21.731018745824
2020-01-01,tages_distanz_2-10km_alter_6579,ch,24.2541443495508
2020-01-01,tages_distanz_20-50km,ch,18.4644696123509
2020-01-01,tages_distanz_20-50km_alter_1529,ch,21.8126782193415
2020-01-01,tages_distanz_20-50km_alter_3064,ch,17.9628575772071
2020-01-01,tages_distanz_20-50km_alter_6579,ch,15.6944434591849
2020-01-01,tages_distanz_50-100km,ch,11.3674043007089
2020-01-01,tages_distanz_50-100km_alter_1529,ch,14.139731105533
2020-01-01,tages_distanz_50-100km_alter_3064,ch,10.8074688410786
2020-01-01,tages_distanz_50-100km_alter_6579,ch,9.66933889830569
2020-01-01,tages_distanz_weniger2km,ch,24.0918570783065
2020-01-01,tages_distanz_weniger2km_alter_1529,ch,20.4701354992894
2020-01-01,tages_distanz_weniger2km_alter_3064,ch,24.4418933444469
2020-01-01,tages_distanz_weniger2km_alter_6579,ch,27.8811812734266
2020-01-01,total,ch,12.4814554482289
2020-01-01,total,rural,14.343934033638
2020-01-01,total,urban,11.1300464891697
2020-01-01,total,zh,12.2099423884908
2020-01-01,weiblich,ch,12.2754853288675
2020-01-02,alter_1529,ch,18.4838978369314
2020-01-02,alter_3064,ch,17.5167653344042
2020-01-02,alter_6579,ch,11.2615208761913
2020-01-02,erwerbstaetig,ch,18.6698477563573
2020-01-02,in_ausbildung,ch,16.7833367882801
2020-01-02,maennlich,ch,18.5587690693747
2020-01-02,nicht_erwerbstaetig,ch,10.9143368068599
2020-01-02,tages_distanz_10-20km,ch,13.0970297519367
2020-01-02,tages_distanz_10-20km_alter_1529,ch,15.1063363016787
2020-01-02,tages_distanz_10-20km_alter_3064,ch,12.1642733511728
2020-01-02,tages_distanz_10-20km_alter_6579,ch,14.1244431365739
2020-01-02,tages_distanz_100pluskm,ch,13.943818348485
2020-01-02,tages_distanz_100pluskm_alter_1529,ch,15.3168165585491
2020-01-02,tages_distanz_100pluskm_alter_3064,ch,14.1335640670186
2020-01-02,tages_distanz_100pluskm_alter_6579,ch,11.0404669286936
2020-01-02,tages_distanz_2-10km,ch,18.4586791975756
2020-01-02,tages_distanz_2-10km_alter_1529,ch,16.7271573461587
2020-01-02,tages_distanz_2-10km_alter_3064,ch,18.5020777186568
2020-01-02,tages_distanz_2-10km_alter_6579,ch,20.8879137976565
2020-01-02,tages_distanz_20-50km,ch,20.5011239423762
2020-01-02,tages_distanz_20-50km_alter_1529,ch,20.6803441335583
2020-01-02,tages_distanz_20-50km_alter_3064,ch,21.5726995510697
2020-01-02,tages_distanz_20-50km_alter_6579,ch,15.55910500106
2020-01-02,tages_distanz_50-100km,ch,11.8616907970142
2020-01-02,tages_distanz_50-100km_alter_1529,ch,12.4838695387536
2020-01-02,tages_distanz_50-100km_alter_3064,ch,11.68498366499
2020-01-02,tages_distanz_50-100km_alter_6579,ch,11.6910985761983
2020-01-02,tages_distanz_weniger2km,ch,22.1376579626122
2020-01-02,tages_distanz_weniger2km_alter_1529,ch,19.6854761213015
2020-01-02,tages_distanz_weniger2km_alter_3064,ch,21.9424016470922
2020-01-02,tages_distanz_weniger2km_alter_6579,ch,26.6969725598177
2020-01-02,total,ch,16.670620978162
2020-01-02,total,rural,20.2899608835464
2020-01-02,total,urban,13.7261208758432
2020-01-02,total,zh,16.4088960714181
2020-01-02,weiblich,ch,14.8125654877808
2020-01-03,alter_1529,ch,24.4059690600482
2020-01-03,alter_3064,ch,23.6092317792412
