time,variable,group,value
2019-09-03,median,abotyp_ga,34.6684088594268
2019-09-03,median,abotyp_halbtax_strecken__verbundabo,15.5855657960668
2019-09-03,median,abotyp_kein_abo,19.7447800328796
2019-09-03,median,alter_15_29,22.7480247559186
2019-09-03,median,alter_30_64,16.7276964140415
2019-09-03,median,alter_65_79,7.91191150824531
2019-09-03,median,auto_ja,18.8395669704194
2019-09-03,median,auto_nein,13.3063272966636
2019-09-03,median,d_ch,19.4369270948538
2019-09-03,median,erwerbstaetig,18.7249520449753
2019-09-03,median,f_ch,12.1085689268611
2019-09-03,median,haushaltsgroesse_1_person,26.4596168117926
2019-09-03,median,haushaltsgroesse_2_personen,14.7095091560686
2019-09-03,median,haushaltsgroesse_3__personen,17.01417751014
2019-09-03,median,in_ausbildung,22.6515695652338
2019-09-03,median,kanton_zuerich_ja,17.3316407037819
2019-09-03,median,kanton_zuerich_nein,17.078283693456
2019-09-03,median,kinder_ja,4.13772298353757
2019-09-03,median,kinder_nein,11.1671918943946
2019-09-03,median,laendisch,39.497101063221
2019-09-03,median,maennlich,18.0724037342362
2019-09-03,median,nicht_erwerbstaetig,12.790559379002
2019-09-03,median,staedtisch,16.2859602502533
2019-09-03,median,total,17.854667438157
2019-09-03,median,weiblich,17.7010017847417
2019-09-03,mittelwert,abotyp_ga,59.0385755406174
2019-09-03,mittelwert,abotyp_halbtax_strecken__verbundabo,32.6173575452143
2019-09-03,mittelwert,abotyp_kein_abo,36.6384082939308
2019-09-03,mittelwert,alter_15_29,49.9985576467424
2019-09-03,mittelwert,alter_30_64,30.0773153546679
2019-09-03,mittelwert,alter_65_79,20.5837775301594
2019-09-03,mittelwert,auto_ja,35.7806453712533
2019-09-03,mittelwert,auto_nein,22.9357510048728
2019-09-03,mittelwert,d_ch,36.1641012454656
2019-09-03,mittelwert,erwerbstaetig,34.862585207148
2019-09-03,mittelwert,f_ch,24.6564420069782
2019-09-03,mittelwert,haushaltsgroesse_1_person,31.8081742200485
2019-09-03,mittelwert,haushaltsgroesse_2_personen,41.8359074308845
2019-09-03,mittelwert,haushaltsgroesse_3__personen,29.4137237675078
2019-09-03,mittelwert,in_ausbildung,38.6252004861924
2019-09-03,mittelwert,kanton_zuerich_ja,29.0791907610456
2019-09-03,mittelwert,kanton_zuerich_nein,36.5117902047272
2019-09-03,mittelwert,kinder_ja,16.5929091744971
2019-09-03,mittelwert,kinder_nein,21.1723113424807
2019-09-03,mittelwert,laendisch,48.0431801531699
2019-09-03,mittelwert,maennlich,35.5034939989466
2019-09-03,mittelwert,nicht_erwerbstaetig,21.3627562643678
2019-09-03,mittelwert,staedtisch,33.6691010810033
2019-09-03,mittelwert,total,34.2659818899493
2019-09-03,mittelwert,weiblich,31.6191469202309
2019-09-03,pendleranteil,abotyp_ga,0.222558531405961
2019-09-03,pendleranteil,abotyp_halbtax_strecken__verbundabo,0.291886716299837
2019-09-03,pendleranteil,abotyp_kein_abo,0.12374109396752
2019-09-03,pendleranteil,alter_15_29,0.283266881860779
2019-09-03,pendleranteil,alter_30_64,0.278008868173475
2019-09-03,pendleranteil,alter_65_79,-0.0500160610144508
2019-09-03,pendleranteil,auto_ja,0.271528896350766
2019-09-03,pendleranteil,auto_nein,-0.0590873331425054
2019-09-03,pendleranteil,d_ch,0.299695268589044
2019-09-03,pendleranteil,erwerbstaetig,0.267732324434229
2019-09-03,pendleranteil,f_ch,-0.037679415675562
2019-09-03,pendleranteil,haushaltsgroesse_1_person,0.439835762451706
2019-09-03,pendleranteil,haushaltsgroesse_2_personen,0.126707735081782
2019-09-03,pendleranteil,haushaltsgroesse_3__personen,0.380050768705428
2019-09-03,pendleranteil,in_ausbildung,0.243878356343523
2019-09-03,pendleranteil,kanton_zuerich_ja,0.164248550703227
2019-09-03,pendleranteil,kanton_zuerich_nein,0.297779066319854
2019-09-03,pendleranteil,kinder_ja,0.350838993725042
2019-09-03,pendleranteil,kinder_nein,0.381803561297838
2019-09-03,pendleranteil,laendisch,0.152465826430933
2019-09-03,pendleranteil,maennlich,0.31323527547752
2019-09-03,pendleranteil,staedtisch,0.285741580026591
2019-09-03,pendleranteil,total,0.266012729363841
2019-09-03,pendleranteil,weiblich,0.220782724365821
2019-09-04,median,abotyp_ga,33.8866076997085
2019-09-04,median,abotyp_halbtax_strecken__verbundabo,17.8855291208078
2019-09-04,median,abotyp_kein_abo,21.0591419192873
2019-09-04,median,alter_15_29,23.8382574931172
2019-09-04,median,alter_30_64,18.7744863580408
2019-09-04,median,alter_65_79,10.7776175419475
2019-09-04,median,auto_ja,20.5107456097316
2019-09-04,median,auto_nein,15.7513447493676
2019-09-04,median,d_ch,21.2575647420802
2019-09-04,median,erwerbstaetig,20.6747398244311
2019-09-04,median,f_ch,14.1199131662302
2019-09-04,median,haushaltsgroesse_1_person,27.5142289499703
2019-09-04,median,haushaltsgroesse_2_personen,17.5863973121098
2019-09-04,median,haushaltsgroesse_3__personen,18.5252045573627
2019-09-04,median,in_ausbildung,23.3327836495971
2019-09-04,median,kanton_zuerich_ja,19.6046701221247
2019-09-04,median,kanton_zuerich_nein,18.9120385331221
2019-09-04,median,kinder_ja,4.13959359044163
2019-09-04,median,kinder_nein,11.1687433023534
2019-09-04,median,laendisch,39.8604044012739
2019-09-04,median,maennlich,20.8260277540777
2019-09-04,median,nicht_erwerbstaetig,13.8649571988168
2019-09-04,median,staedtisch,18.2359011676548
2019-09-04,median,total,19.6669642186367
2019-09-04,median,weiblich,18.9573807342568
2019-09-04,mittelwert,abotyp_ga,60.1683694727909
2019-09-04,mittelwert,abotyp_halbtax_strecken__verbundabo,35.2980756417969
2019-09-04,mittelwert,abotyp_kein_abo,38.0583327083859
2019-09-04,mittelwert,alter_15_29,49.5333927040484
2019-09-04,mittelwert,alter_30_64,33.1321977833287
2019-09-04,mittelwert,alter_65_79,25.1004318881925
2019-09-04,mittelwert,auto_ja,37.8663766436317
2019-09-04,mittelwert,auto_nein,26.5647395734554
2019-09-04,mittelwert,d_ch,38.2208697018748
2019-09-04,mittelwert,erwerbstaetig,37.3911510748918
2019-09-04,mittelwert,f_ch,28.5645286898531
2019-09-04,mittelwert,haushaltsgroesse_1_person,34.5736369463165
2019-09-04,mittelwert,haushaltsgroesse_2_personen,43.7865719989336
2019-09-04,mittelwert,haushaltsgroesse_3__personen,32.0197936932787
2019-09-04,mittelwert,in_ausbildung,39.6032833934155
2019-09-04,mittelwert,kanton_zuerich_ja,32.1140060004745
2019-09-04,mittelwert,kanton_zuerich_nein,38.6429425435186
2019-09-04,mittelwert,kinder_ja,16.5953212277697
2019-09-04,mittelwert,kinder_nein,21.1748617376821
2019-09-04,mittelwert,laendisch,49.1860721814059
2019-09-04,mittelwert,maennlich,38.1814944287503
2019-09-04,mittelwert,nicht_erwerbstaetig,24.5891240887181
2019-09-04,mittelwert,staedtisch,36.0246075468618
2019-09-04,mittelwert,total,36.5560808210808
2019-09-04,mittelwert,weiblich,33.8623175259148
2019-09-04,pendleranteil,abotyp_ga,0.227624333007843
2019-09-04,pendleranteil,abotyp_halbtax_strecken__verbundabo,0.319130305419744
2019-09-04,pendleranteil,abotyp_kein_abo,0.181057675256411
2019-09-04,pendleranteil,alter_15_29,0.292758823302476
2019-09-04,pendleranteil,alter_30_64,0.31049379079549
2019-09-04,pendleranteil,alter_65_79,0.0351321714099234
2019-09-04,pendleranteil,auto_ja,0.302364431160715
2019-09-04,pendleranteil,auto_nein,-0.0197270214553808
2019-09-04,pendleranteil,d_ch,0.325924087236238
2019-09-04,pendleranteil,erwerbstaetig,0.301617027182274
2019-09-04,pendleranteil,f_ch,0.0373014386939035
2019-09-04,pendleranteil,haushaltsgroesse_1_person,0.458790736873703
2019-09-04,pendleranteil,haushaltsgroesse_2_personen,0.190863138351459
2019-09-04,pendleranteil,haushaltsgroesse_3__personen,0.378616793190312
2019-09-04,pendleranteil,in_ausbildung,0.236753815843973
2019-09-04,pendleranteil,kanton_zuerich_ja,0.216377913166385
2019-09-04,pendleranteil,kanton_zuerich_nein,0.320004140524326
2019-09-04,pendleranteil,kinder_ja,0.362950008393475
2019-09-04,pendleranteil,kinder_nein,0.396888399513939
