time,geo,variable,value
2020-01-01,ag,stringency,0
2020-01-01,ag,stringency_plus,0
2020-01-01,ai,stringency,0
2020-01-01,ai,stringency_plus,0
2020-01-01,ar,stringency,0
2020-01-01,ar,stringency_plus,0
2020-01-01,be,stringency,0
2020-01-01,be,stringency_plus,0
2020-01-01,bl,stringency,0
2020-01-01,bl,stringency_plus,0
2020-01-01,bs,stringency,0
2020-01-01,bs,stringency_plus,0
2020-01-01,ch,stringency,0
2020-01-01,ch,stringency_plus,0
2020-01-01,fr,stringency,0
2020-01-01,fr,stringency_plus,0
2020-01-01,ge,stringency,0
2020-01-01,ge,stringency_plus,0
2020-01-01,gl,stringency,0
2020-01-01,gl,stringency_plus,0
2020-01-01,gr,stringency,0
2020-01-01,gr,stringency_plus,0
2020-01-01,ju,stringency,0
2020-01-01,ju,stringency_plus,0
2020-01-01,lu,stringency,0
2020-01-01,lu,stringency_plus,0
2020-01-01,ne,stringency,0
2020-01-01,ne,stringency_plus,0
2020-01-01,nw,stringency,0
2020-01-01,nw,stringency_plus,0
2020-01-01,ow,stringency,0
2020-01-01,ow,stringency_plus,0
2020-01-01,sg,stringency,0
2020-01-01,sg,stringency_plus,0
2020-01-01,sh,stringency,0
2020-01-01,sh,stringency_plus,0
2020-01-01,so,stringency,0
2020-01-01,so,stringency_plus,0
2020-01-01,sz,stringency,0
2020-01-01,sz,stringency_plus,0
2020-01-01,tg,stringency,0
2020-01-01,tg,stringency_plus,0
2020-01-01,ti,stringency,0
2020-01-01,ti,stringency_plus,0
2020-01-01,ur,stringency,0
2020-01-01,ur,stringency_plus,0
2020-01-01,vd,stringency,0
2020-01-01,vd,stringency_plus,0
2020-01-01,vs,stringency,0
2020-01-01,vs,stringency_plus,0
2020-01-01,zg,stringency,0
2020-01-01,zg,stringency_plus,0
2020-01-01,zh,stringency,0
2020-01-01,zh,stringency_plus,0
2020-01-02,ag,stringency,0
2020-01-02,ag,stringency_plus,0
2020-01-02,ai,stringency,0
2020-01-02,ai,stringency_plus,0
2020-01-02,ar,stringency,0
2020-01-02,ar,stringency_plus,0
2020-01-02,be,stringency,0
2020-01-02,be,stringency_plus,0
2020-01-02,bl,stringency,0
2020-01-02,bl,stringency_plus,0
2020-01-02,bs,stringency,0
2020-01-02,bs,stringency_plus,0
2020-01-02,ch,stringency,0
2020-01-02,ch,stringency_plus,0
2020-01-02,fr,stringency,0
2020-01-02,fr,stringency_plus,0
2020-01-02,ge,stringency,0
2020-01-02,ge,stringency_plus,0
