time,variable,value
2020-03-26,count,7554
2020-03-26,cum_count,7554
2020-03-27,count,8376
2020-03-27,cum_count,15930
2020-03-28,count,11750
2020-03-28,cum_count,27680
2020-03-29,count,4173
2020-03-29,cum_count,31853
2020-03-30,count,11681
2020-03-30,cum_count,43534
2020-03-31,count,10216
2020-03-31,cum_count,53750
2020-04-01,count,10941
2020-04-01,cum_count,64691
2020-04-02,count,11343
2020-04-02,cum_count,76034
2020-04-03,count,2019
2020-04-03,cum_count,78053
2020-04-04,count,1903
2020-04-04,cum_count,79956
2020-04-05,count,286
2020-04-05,cum_count,80242
2020-04-06,count,3978
2020-04-06,cum_count,84220
2020-04-07,count,3883
2020-04-07,cum_count,88103
2020-04-08,count,3694
2020-04-08,cum_count,91797
2020-04-09,count,2472
2020-04-09,cum_count,94269
2020-04-10,count,1972
2020-04-10,cum_count,96241
2020-04-11,count,2
2020-04-11,cum_count,96243
2020-04-12,count,0
2020-04-12,cum_count,96243
2020-04-13,count,186
2020-04-13,cum_count,96429
2020-04-14,count,2144
2020-04-14,cum_count,98573
2020-04-15,count,2729
2020-04-15,cum_count,101302
2020-04-16,count,2087
2020-04-16,cum_count,103389
2020-04-17,count,2025
2020-04-17,cum_count,105414
2020-04-18,count,498
2020-04-18,cum_count,105912
2020-04-19,count,0
2020-04-19,cum_count,105912
2020-04-20,count,1155
2020-04-20,cum_count,107067
2020-04-21,count,1925
2020-04-21,cum_count,108992
2020-04-22,count,1417
2020-04-22,cum_count,110409
2020-04-23,count,412
2020-04-23,cum_count,110821
2020-04-24,count,1268
2020-04-24,cum_count,112089
2020-04-25,count,226
2020-04-25,cum_count,112315
2020-04-26,count,1
2020-04-26,cum_count,112316
2020-04-27,count,1179
2020-04-27,cum_count,113495
2020-04-28,count,1646
2020-04-28,cum_count,115141
2020-04-29,count,1119
2020-04-29,cum_count,116260
2020-04-30,count,864
2020-04-30,cum_count,117124
2020-05-01,count,518
2020-05-01,cum_count,117642
2020-05-02,count,70
2020-05-02,cum_count,117712
2020-05-03,count,1
2020-05-03,cum_count,117713
2020-05-04,count,633
2020-05-04,cum_count,118346
2020-05-05,count,1013
2020-05-05,cum_count,119359
2020-05-06,count,892
2020-05-06,cum_count,120251
2020-05-07,count,981
2020-05-07,cum_count,121232
2020-05-08,count,1538
2020-05-08,cum_count,122770
2020-05-09,count,182
2020-05-09,cum_count,122952
2020-05-10,count,3
2020-05-10,cum_count,122955
2020-05-11,count,609
2020-05-11,cum_count,123564
2020-05-12,count,-1595
2020-05-12,cum_count,121969
2020-05-13,count,197
2020-05-13,cum_count,122166
2020-05-14,count,281
2020-05-14,cum_count,122447
2020-05-15,count,424
2020-05-15,cum_count,122871
2020-05-16,count,43
2020-05-16,cum_count,122914
2020-05-17,count,0
2020-05-17,cum_count,122914
2020-05-18,count,322
2020-05-18,cum_count,123236
2020-05-19,count,305
2020-05-19,cum_count,123541
2020-05-20,count,116
2020-05-20,cum_count,123657
2020-05-21,count,108
2020-05-21,cum_count,123765
2020-05-22,count,217
2020-05-22,cum_count,123982
2020-05-23,count,46
2020-05-23,cum_count,124028
2020-05-24,count,0
2020-05-24,cum_count,124028
2020-05-25,count,274
2020-05-25,cum_count,124302
2020-05-26,count,470
2020-05-26,cum_count,124772
2020-05-27,count,82
2020-05-27,cum_count,124854
2020-05-28,count,133
2020-05-28,cum_count,124987
2020-05-29,count,426
2020-05-29,cum_count,125413
