time,availability,geo,value
2018-07-16,tot,tot,139518
2018-07-17,tot,tot,139369
2018-07-18,tot,tot,139590
2018-07-19,tot,tot,139766
2018-07-20,tot,tot,137082
2018-07-21,tot,tot,139948
2018-07-22,tot,tot,140086
2018-07-23,tot,tot,140051
2018-07-24,tot,tot,139935
2018-07-25,tot,tot,140353
2018-07-26,tot,tot,140334
2018-07-27,tot,tot,140848
2018-07-28,tot,tot,141068
2018-07-29,tot,tot,141253
2018-07-30,tot,tot,141146
2018-07-31,tot,tot,139077
2018-08-01,tot,tot,138936
2018-08-02,tot,tot,139198
2018-08-03,tot,tot,139151
2018-08-04,tot,tot,139294
2018-08-05,tot,tot,139365
2018-08-06,tot,tot,139289
2018-08-07,tot,tot,139012
2018-08-08,tot,tot,139003
2018-08-09,tot,tot,136845
2018-08-10,tot,tot,140004
2018-08-11,tot,tot,140101
2018-08-13,tot,tot,139994
2018-08-14,tot,tot,139702
2018-08-15,tot,tot,139976
2018-08-16,tot,tot,140272
2018-08-17,tot,tot,140434
2018-08-18,tot,tot,140575
2018-08-19,tot,tot,140607
2018-08-20,tot,tot,140540
2018-08-21,tot,tot,140332
2018-08-22,tot,tot,140313
2018-08-23,tot,tot,141112
2018-08-24,tot,tot,141439
2018-08-25,tot,tot,141643
2018-08-26,tot,tot,141770
2018-08-27,tot,tot,141700
2018-08-28,tot,tot,141641
2018-08-29,tot,tot,141995
2018-08-31,tot,tot,139836
2018-09-01,tot,tot,139328
2018-09-02,tot,tot,139575
2018-09-03,tot,tot,139516
2018-09-04,tot,tot,139189
2018-09-06,tot,tot,139734
2018-09-07,tot,tot,139894
2018-09-08,tot,tot,140011
2018-09-09,tot,tot,140141
2018-09-10,tot,tot,140078
2018-09-11,tot,tot,139952
2018-09-12,tot,tot,140155
2018-09-13,tot,tot,140389
2018-09-14,tot,tot,140648
2018-09-15,tot,tot,140857
2018-09-16,tot,tot,140842
2018-09-17,tot,tot,140755
2018-09-18,tot,tot,140474
2018-09-21,tot,tot,141310
2018-09-22,tot,tot,141686
2018-09-23,tot,tot,141603
2018-09-24,tot,tot,141569
2018-09-25,tot,tot,141552
2018-09-26,tot,tot,141751
2018-09-27,tot,tot,141961
2018-09-28,tot,tot,142226
2018-09-29,tot,tot,142228
2018-09-30,tot,tot,140733
2018-10-01,tot,tot,140582
2018-10-02,tot,tot,140266
2018-10-03,tot,tot,140759
2018-10-04,tot,tot,140759
2018-10-05,tot,tot,141019
2018-10-06,tot,tot,141482
2018-10-07,tot,tot,141621
2018-10-08,tot,tot,141584
2018-10-09,tot,tot,141536
2018-10-10,tot,tot,141875
2018-10-16,tot,tot,142101
2018-10-17,tot,tot,142424
2018-10-18,tot,tot,142684
2018-10-19,tot,tot,142928
2018-10-20,tot,tot,143119
2018-10-21,tot,tot,143208
2018-10-22,tot,tot,143165
2018-10-23,tot,tot,143148
2018-10-25,tot,tot,144060
2018-10-26,tot,tot,144466
2018-10-27,tot,tot,144732
2018-10-28,tot,tot,144914
2018-10-29,tot,tot,144849
2018-10-30,tot,tot,144768
2018-10-31,tot,tot,143439
2018-11-01,tot,tot,143358
2018-11-02,tot,tot,143649
2018-11-03,tot,tot,143958
2018-11-04,tot,tot,144164
2018-11-05,tot,tot,144134
2018-11-06,tot,tot,144068
2018-11-07,tot,tot,144666
2018-11-08,tot,tot,145125
2018-11-09,tot,tot,145572
2018-11-10,tot,tot,145864
2018-11-11,tot,tot,145763
2018-11-12,tot,tot,146008
2018-11-13,tot,tot,145966
2018-11-14,tot,tot,146379
2018-11-15,tot,tot,146878
2018-11-16,tot,tot,147236
2018-11-17,tot,tot,147444
2018-11-18,tot,tot,147564
2018-11-19,tot,tot,147523
2018-11-20,tot,tot,147597
2018-11-21,tot,tot,148172
2018-11-22,tot,tot,148688
2018-11-23,tot,tot,149021
2018-11-24,tot,tot,149349
2018-11-25,tot,tot,149292
2018-11-26,tot,tot,149254
2018-11-27,tot,tot,149241
2018-11-28,tot,tot,149471
2018-11-29,tot,tot,150585
2018-11-30,tot,tot,148956
2018-12-02,tot,tot,149474
2018-12-03,tot,tot,149434
2018-12-04,tot,tot,149308
2018-12-05,tot,tot,150324
2018-12-07,tot,tot,151398
2018-12-08,tot,tot,151687
2018-12-09,tot,tot,151608
2018-12-10,tot,tot,151862
2018-12-11,tot,tot,151841
2018-12-12,tot,tot,151823
