time,variable,value
2020-01-01,bezug_bargeld,31700000
2020-01-01,debiteinsatz_ausland,21500000
2020-01-01,stat_einkauf,39600000
2020-01-02,bezug_bargeld,76900000
2020-01-02,debiteinsatz_ausland,14200000
2020-01-02,stat_einkauf,7.7e+07
2020-01-03,bezug_bargeld,139800000
2020-01-03,debiteinsatz_ausland,28100000
2020-01-03,stat_einkauf,131300000
2020-01-04,bezug_bargeld,92200000
2020-01-04,debiteinsatz_ausland,25500000
2020-01-04,stat_einkauf,139500000
2020-01-05,bezug_bargeld,40600000
2020-01-05,debiteinsatz_ausland,3e+06
2020-01-05,stat_einkauf,2.6e+07
2020-01-06,bezug_bargeld,114900000
2020-01-06,debiteinsatz_ausland,27900000
2020-01-06,stat_einkauf,107300000
2020-01-07,bezug_bargeld,114300000
2020-01-07,debiteinsatz_ausland,11800000
2020-01-07,stat_einkauf,96300000
2020-01-08,bezug_bargeld,106400000
2020-01-08,debiteinsatz_ausland,14500000
2020-01-08,stat_einkauf,99600000
2020-01-09,bezug_bargeld,103700000
2020-01-09,debiteinsatz_ausland,11700000
2020-01-09,stat_einkauf,99600000
2020-01-10,bezug_bargeld,121600000
2020-01-10,debiteinsatz_ausland,1.2e+07
2020-01-10,stat_einkauf,123400000
2020-01-11,bezug_bargeld,96500000
2020-01-11,debiteinsatz_ausland,1.3e+07
2020-01-11,stat_einkauf,153200000
2020-01-12,bezug_bargeld,36600000
2020-01-12,debiteinsatz_ausland,2200000
2020-01-12,stat_einkauf,2.8e+07
2020-01-13,bezug_bargeld,84100000
2020-01-13,debiteinsatz_ausland,22600000
2020-01-13,stat_einkauf,104500000
2020-01-14,bezug_bargeld,81300000
2020-01-14,debiteinsatz_ausland,13200000
2020-01-14,stat_einkauf,90300000
2020-01-15,bezug_bargeld,84400000
2020-01-15,debiteinsatz_ausland,9e+06
2020-01-15,stat_einkauf,94400000
2020-01-16,bezug_bargeld,86400000
2020-01-16,debiteinsatz_ausland,9300000
2020-01-16,stat_einkauf,96100000
2020-01-17,bezug_bargeld,103100000
2020-01-17,debiteinsatz_ausland,9600000
2020-01-17,stat_einkauf,117100000
2020-01-18,bezug_bargeld,9.3e+07
2020-01-18,debiteinsatz_ausland,11300000
2020-01-18,stat_einkauf,148600000
2020-01-19,bezug_bargeld,33500000
2020-01-19,debiteinsatz_ausland,1900000
2020-01-19,stat_einkauf,27500000
2020-01-20,bezug_bargeld,77900000
2020-01-20,debiteinsatz_ausland,21500000
2020-01-20,stat_einkauf,102900000
2020-01-21,bezug_bargeld,77500000
2020-01-21,debiteinsatz_ausland,11600000
2020-01-21,stat_einkauf,86200000
2020-01-22,bezug_bargeld,81400000
2020-01-22,debiteinsatz_ausland,8900000
2020-01-22,stat_einkauf,91100000
2020-01-23,bezug_bargeld,9e+07
2020-01-23,debiteinsatz_ausland,8600000
2020-01-23,stat_einkauf,94300000
2020-01-24,bezug_bargeld,200500000
2020-01-24,debiteinsatz_ausland,9600000
2020-01-24,stat_einkauf,1.31e+08
2020-01-25,bezug_bargeld,149200000
2020-01-25,debiteinsatz_ausland,1.4e+07
2020-01-25,stat_einkauf,167600000
2020-01-26,bezug_bargeld,55500000
2020-01-26,debiteinsatz_ausland,2800000
2020-01-26,stat_einkauf,31700000
2020-01-27,bezug_bargeld,164700000
2020-01-27,debiteinsatz_ausland,27700000
2020-01-27,stat_einkauf,117900000
2020-01-28,bezug_bargeld,1.36e+08
2020-01-28,debiteinsatz_ausland,14800000
2020-01-28,stat_einkauf,95800000
2020-01-29,bezug_bargeld,136500000
2020-01-29,debiteinsatz_ausland,11200000
2020-01-29,stat_einkauf,1.01e+08
2020-01-30,bezug_bargeld,139800000
2020-01-30,debiteinsatz_ausland,10900000
2020-01-30,stat_einkauf,104800000
2020-01-31,bezug_bargeld,170100000
2020-01-31,debiteinsatz_ausland,11300000
2020-01-31,stat_einkauf,129500000
2020-02-01,bezug_bargeld,1.42e+08
2020-02-01,debiteinsatz_ausland,14600000
2020-02-01,stat_einkauf,164700000
2020-02-02,bezug_bargeld,48100000
2020-02-02,debiteinsatz_ausland,2700000
2020-02-02,stat_einkauf,29500000
2020-02-03,bezug_bargeld,136300000
2020-02-03,debiteinsatz_ausland,2.7e+07
2020-02-03,stat_einkauf,112700000
2020-02-04,bezug_bargeld,125400000
2020-02-04,debiteinsatz_ausland,14300000
2020-02-04,stat_einkauf,91800000
2020-02-05,bezug_bargeld,133900000
2020-02-05,debiteinsatz_ausland,11600000
2020-02-05,stat_einkauf,99700000
2020-02-06,bezug_bargeld,128900000
2020-02-06,debiteinsatz_ausland,1.1e+07
2020-02-06,stat_einkauf,101900000
2020-02-07,bezug_bargeld,148100000
2020-02-07,debiteinsatz_ausland,11200000
2020-02-07,stat_einkauf,1.23e+08
2020-02-08,bezug_bargeld,1.13e+08
2020-02-08,debiteinsatz_ausland,14700000
2020-02-08,stat_einkauf,151700000
2020-02-09,bezug_bargeld,42200000
2020-02-09,debiteinsatz_ausland,2600000
2020-02-09,stat_einkauf,3.1e+07
2020-02-10,bezug_bargeld,91500000
2020-02-10,debiteinsatz_ausland,23200000
2020-02-10,stat_einkauf,105600000
2020-02-11,bezug_bargeld,90700000
2020-02-11,debiteinsatz_ausland,13600000
2020-02-11,stat_einkauf,90600000
2020-02-12,bezug_bargeld,93400000
2020-02-12,debiteinsatz_ausland,14600000
2020-02-12,stat_einkauf,96300000
2020-02-13,bezug_bargeld,92500000
2020-02-13,debiteinsatz_ausland,10800000
2020-02-13,stat_einkauf,98900000
2020-02-14,bezug_bargeld,1.21e+08
2020-02-14,debiteinsatz_ausland,11100000
2020-02-14,stat_einkauf,128800000
2020-02-15,bezug_bargeld,102700000
2020-02-15,debiteinsatz_ausland,14900000
2020-02-15,stat_einkauf,1.48e+08
2020-02-16,bezug_bargeld,39100000
2020-02-16,debiteinsatz_ausland,2400000
2020-02-16,stat_einkauf,30200000
2020-02-17,bezug_bargeld,78200000
2020-02-17,debiteinsatz_ausland,24800000
2020-02-17,stat_einkauf,105900000
2020-02-18,bezug_bargeld,8.4e+07
2020-02-18,debiteinsatz_ausland,13800000
2020-02-18,stat_einkauf,88200000
2020-02-19,bezug_bargeld,86400000
2020-02-19,debiteinsatz_ausland,10500000
2020-02-19,stat_einkauf,92200000
2020-02-20,bezug_bargeld,98300000
2020-02-20,debiteinsatz_ausland,9800000
2020-02-20,stat_einkauf,90800000
2020-02-21,bezug_bargeld,119400000
2020-02-21,debiteinsatz_ausland,10300000
2020-02-21,stat_einkauf,115700000
2020-02-22,bezug_bargeld,103100000
2020-02-22,debiteinsatz_ausland,13900000
2020-02-22,stat_einkauf,140900000
2020-02-23,bezug_bargeld,41300000
2020-02-23,debiteinsatz_ausland,2200000
2020-02-23,stat_einkauf,27200000
2020-02-24,bezug_bargeld,105800000
2020-02-24,debiteinsatz_ausland,22200000
2020-02-24,stat_einkauf,106100000
2020-02-25,bezug_bargeld,200200000
2020-02-25,debiteinsatz_ausland,13300000
2020-02-25,stat_einkauf,105600000
2020-02-26,bezug_bargeld,163300000
2020-02-26,debiteinsatz_ausland,12600000
2020-02-26,stat_einkauf,111400000
2020-02-27,bezug_bargeld,170300000
2020-02-27,debiteinsatz_ausland,12100000
2020-02-27,stat_einkauf,118900000
2020-02-28,bezug_bargeld,212700000
2020-02-28,debiteinsatz_ausland,12200000
2020-02-28,stat_einkauf,147400000
2020-02-29,bezug_bargeld,156100000
2020-02-29,debiteinsatz_ausland,14800000
2020-02-29,stat_einkauf,173500000
2020-03-01,bezug_bargeld,62600000
2020-03-01,debiteinsatz_ausland,2700000
2020-03-01,stat_einkauf,3e+07
2020-03-02,bezug_bargeld,159600000
2020-03-02,debiteinsatz_ausland,25300000
2020-03-02,stat_einkauf,117600000
2020-03-03,bezug_bargeld,148900000
2020-03-03,debiteinsatz_ausland,15100000
2020-03-03,stat_einkauf,97300000
2020-03-04,bezug_bargeld,138500000
2020-03-04,debiteinsatz_ausland,10700000
2020-03-04,stat_einkauf,100500000
2020-03-05,bezug_bargeld,1.26e+08
2020-03-05,debiteinsatz_ausland,10300000
2020-03-05,stat_einkauf,1.02e+08
2020-03-06,bezug_bargeld,158400000
2020-03-06,debiteinsatz_ausland,10500000
2020-03-06,stat_einkauf,129500000
2020-03-07,bezug_bargeld,119900000
2020-03-07,debiteinsatz_ausland,12900000
2020-03-07,stat_einkauf,162900000
2020-03-08,bezug_bargeld,45200000
2020-03-08,debiteinsatz_ausland,2200000
2020-03-08,stat_einkauf,29400000
2020-03-09,bezug_bargeld,103600000
2020-03-09,debiteinsatz_ausland,22400000
2020-03-09,stat_einkauf,111700000
2020-03-10,bezug_bargeld,96200000
2020-03-10,debiteinsatz_ausland,12600000
2020-03-10,stat_einkauf,94500000
2020-03-11,bezug_bargeld,98600000
2020-03-11,debiteinsatz_ausland,8700000
2020-03-11,stat_einkauf,99900000
2020-03-12,bezug_bargeld,101800000
2020-03-12,debiteinsatz_ausland,8800000
2020-03-12,stat_einkauf,111700000
2020-03-13,bezug_bargeld,131100000
2020-03-13,debiteinsatz_ausland,9500000
2020-03-13,stat_einkauf,1.71e+08
2020-03-14,bezug_bargeld,97300000
2020-03-14,debiteinsatz_ausland,12500000
2020-03-14,stat_einkauf,170900000
2020-03-15,bezug_bargeld,38800000
2020-03-15,debiteinsatz_ausland,1600000
2020-03-15,stat_einkauf,20500000
2020-03-16,bezug_bargeld,117600000
2020-03-16,debiteinsatz_ausland,1.5e+07
2020-03-16,stat_einkauf,160800000
2020-03-17,bezug_bargeld,68500000
2020-03-17,debiteinsatz_ausland,7700000
2020-03-17,stat_einkauf,7.8e+07
2020-03-18,bezug_bargeld,61200000
2020-03-18,debiteinsatz_ausland,5700000
2020-03-18,stat_einkauf,71800000
2020-03-19,bezug_bargeld,61400000
2020-03-19,debiteinsatz_ausland,3600000
2020-03-19,stat_einkauf,7.5e+07
2020-03-20,bezug_bargeld,80200000
2020-03-20,debiteinsatz_ausland,3300000
2020-03-20,stat_einkauf,103400000
2020-03-21,bezug_bargeld,42200000
2020-03-21,debiteinsatz_ausland,3300000
2020-03-21,stat_einkauf,75900000
2020-03-22,bezug_bargeld,18900000
2020-03-22,debiteinsatz_ausland,3e+05
2020-03-22,stat_einkauf,8900000
