time,variable,value
2020-01-02,anz_kkrans_ausl,4796000
2020-01-02,anz_kktrans_ausl_distanz,2539000
2020-01-02,anz_kktrans_ch,6272000
2020-01-02,anz_kktrans_ch_distanz,1860000
2020-01-02,anz_kktrans_ch_praes,4411000
2020-01-02,anz_kktrans_ch_praes_contactless,2468000
2020-01-02,betrag_kktrans_ausl,4.67e+08
2020-01-02,betrag_kktrans_ausl_distanz,2.4e+11
2020-01-02,betrag_kktrans_ch,5.31e+08
2020-01-02,betrag_kktrans_ch_distanz,1.69e+11
2020-01-02,betrag_kktrans_ch_praes,3.63e+08
2020-01-02,betrag_kktrans_ch_praes_contactless,1.36e+08
2020-01-09,anz_kkrans_ausl,3568000
2020-01-09,anz_kktrans_ausl_distanz,2156000
2020-01-09,anz_kktrans_ch,6432000
2020-01-09,anz_kktrans_ch_distanz,1830000
2020-01-09,anz_kktrans_ch_praes,4602000
2020-01-09,anz_kktrans_ch_praes_contactless,2665000
2020-01-09,betrag_kktrans_ausl,3.61e+08
2020-01-09,betrag_kktrans_ausl_distanz,2.29e+11
2020-01-09,betrag_kktrans_ch,4.86e+08
2020-01-09,betrag_kktrans_ch_distanz,1.72e+11
2020-01-09,betrag_kktrans_ch_praes,3.14e+08
2020-01-09,betrag_kktrans_ch_praes_contactless,1.19e+08
2020-01-16,anz_kkrans_ausl,3475000
2020-01-16,anz_kktrans_ausl_distanz,2093000
2020-01-16,anz_kktrans_ch,6573000
2020-01-16,anz_kktrans_ch_distanz,1872000
2020-01-16,anz_kktrans_ch_praes,4702000
2020-01-16,anz_kktrans_ch_praes_contactless,2749000
2020-01-16,betrag_kktrans_ausl,3.58e+08
2020-01-16,betrag_kktrans_ausl_distanz,2.3e+11
2020-01-16,betrag_kktrans_ch,4.84e+08
2020-01-16,betrag_kktrans_ch_distanz,1.67e+11
2020-01-16,betrag_kktrans_ch_praes,3.16e+08
2020-01-16,betrag_kktrans_ch_praes_contactless,1.22e+08
2020-01-23,anz_kkrans_ausl,3506000
2020-01-23,anz_kktrans_ausl_distanz,2114000
2020-01-23,anz_kktrans_ch,6432000
2020-01-23,anz_kktrans_ch_distanz,1852000
2020-01-23,anz_kktrans_ch_praes,4580000
2020-01-23,anz_kktrans_ch_praes_contactless,2685000
2020-01-23,betrag_kktrans_ausl,3.58e+08
2020-01-23,betrag_kktrans_ausl_distanz,2.25e+11
2020-01-23,betrag_kktrans_ch,4.77e+08
2020-01-23,betrag_kktrans_ch_distanz,1.65e+11
2020-01-23,betrag_kktrans_ch_praes,3.12e+08
2020-01-23,betrag_kktrans_ch_praes_contactless,1.21e+08
2020-01-30,anz_kkrans_ausl,3687000
2020-01-30,anz_kktrans_ausl_distanz,2189000
2020-01-30,anz_kktrans_ch,6526000
2020-01-30,anz_kktrans_ch_distanz,1882000
2020-01-30,anz_kktrans_ch_praes,4645000
2020-01-30,anz_kktrans_ch_praes_contactless,2716000
2020-01-30,betrag_kktrans_ausl,3.8e+08
2020-01-30,betrag_kktrans_ausl_distanz,2.35e+11
2020-01-30,betrag_kktrans_ch,4.97e+08
2020-01-30,betrag_kktrans_ch_distanz,1.7e+11
2020-01-30,betrag_kktrans_ch_praes,3.27e+08
2020-01-30,betrag_kktrans_ch_praes_contactless,1.26e+08
2020-02-06,anz_kkrans_ausl,3613000
2020-02-06,anz_kktrans_ausl_distanz,2069000
2020-02-06,anz_kktrans_ch,6505000
2020-02-06,anz_kktrans_ch_distanz,1812000
2020-02-06,anz_kktrans_ch_praes,4693000
2020-02-06,anz_kktrans_ch_praes_contactless,2751000
2020-02-06,betrag_kktrans_ausl,3.61e+08
2020-02-06,betrag_kktrans_ausl_distanz,2.14e+11
2020-02-06,betrag_kktrans_ch,4.78e+08
2020-02-06,betrag_kktrans_ch_distanz,1.56e+11
2020-02-06,betrag_kktrans_ch_praes,3.24e+08
2020-02-06,betrag_kktrans_ch_praes_contactless,1.26e+08
2020-02-13,anz_kkrans_ausl,3634000
2020-02-13,anz_kktrans_ausl_distanz,2029000
2020-02-13,anz_kktrans_ch,6740000
2020-02-13,anz_kktrans_ch_distanz,1724000
