time,direction,geo,value
2009-01-01,in,ch,123803654.946
2009-01-01,out,ch,143210048.271
2009-01-01,out_incl_losses,ch,162899052.53775
2009-01-02,in,ch,132792192.055
2009-01-02,out,ch,154168793.497
2009-01-02,out_incl_losses,ch,171008640.86
2009-01-03,in,ch,154272717.726
2009-01-03,out,ch,160934295.486
2009-01-03,out_incl_losses,ch,174300139.136
2009-01-04,in,ch,139568560.276
2009-01-04,out,ch,154669850.618
2009-01-04,out_incl_losses,ch,169296014.70025
2009-01-05,in,ch,178564780.108
2009-01-05,out,ch,187821153.866
2009-01-05,out_incl_losses,ch,203119019.156
2009-01-06,in,ch,177448240.422
2009-01-06,out,ch,195157849.583
2009-01-06,out_incl_losses,ch,208018627.48825
2009-01-07,in,ch,188176319.215
2009-01-07,out,ch,197549124.987
2009-01-07,out_incl_losses,ch,211820370.65125
2009-01-08,in,ch,177749286.58
2009-01-08,out,ch,199862029.36
2009-01-08,out_incl_losses,ch,214397572.099
2009-01-09,in,ch,180895332.69
2009-01-09,out,ch,196756367.694
2009-01-09,out_incl_losses,ch,210919020.1745
2009-01-10,in,ch,153618014.21
2009-01-10,out,ch,175799034.807
2009-01-10,out_incl_losses,ch,189183545.575
2009-01-11,in,ch,142465871.749
2009-01-11,out,ch,164384353.959
2009-01-11,out_incl_losses,ch,178724091.6995
2009-01-12,in,ch,176545836.509
2009-01-12,out,ch,197044177.183
2009-01-12,out_incl_losses,ch,212289647.7015
2009-01-13,in,ch,181708719.548
2009-01-13,out,ch,199968691.619
2009-01-13,out_incl_losses,ch,215263932.888
2009-01-14,in,ch,183607121.95
2009-01-14,out,ch,199884701.261
2009-01-14,out_incl_losses,ch,214243324.26725
2009-01-15,in,ch,187774902.386
2009-01-15,out,ch,196499050.462
2009-01-15,out_incl_losses,ch,211672581.15975
2009-01-16,in,ch,161083127.556
2009-01-16,out,ch,192805900.437
2009-01-16,out_incl_losses,ch,207895865.74525
2009-01-17,in,ch,155717835.513
2009-01-17,out,ch,170767321.496
2009-01-17,out_incl_losses,ch,183283431.807
2009-01-18,in,ch,141471690.927
2009-01-18,out,ch,158956064.221
2009-01-18,out_incl_losses,ch,174462187.45625
2009-01-19,in,ch,168138084.274
2009-01-19,out,ch,188112156.086
2009-01-19,out_incl_losses,ch,203832877.95675
2009-01-20,in,ch,172272967.25
2009-01-20,out,ch,190511656.067
2009-01-20,out_incl_losses,ch,207811268.87925
2009-01-21,in,ch,163180743.16
2009-01-21,out,ch,191425243.996
2009-01-21,out_incl_losses,ch,208881508.6145
2009-01-22,in,ch,170226695.581
2009-01-22,out,ch,190323766.737
2009-01-22,out_incl_losses,ch,206156992.95825
2009-01-23,in,ch,163364218.631
2009-01-23,out,ch,188684638.537
2009-01-23,out_incl_losses,ch,206143035.49725
2009-01-24,in,ch,143973069.71
2009-01-24,out,ch,165121052.707
2009-01-24,out_incl_losses,ch,183920224.12625
2009-01-25,in,ch,141621664.942
2009-01-25,out,ch,152842547.802
2009-01-25,out_incl_losses,ch,173814691.97525
2009-01-26,in,ch,174664880.822
2009-01-26,out,ch,186884997.236
2009-01-26,out_incl_losses,ch,202712666.1085
2009-01-27,in,ch,170142296.728
2009-01-27,out,ch,190812676.29
2009-01-27,out_incl_losses,ch,206873356.54925
2009-01-28,in,ch,166600484.959
2009-01-28,out,ch,192791632.817
2009-01-28,out_incl_losses,ch,207786768.52
2009-01-29,in,ch,199474700.35
2009-01-29,out,ch,193528630.017
2009-01-29,out_incl_losses,ch,207861982.404
2009-01-30,in,ch,173294500.6
2009-01-30,out,ch,190125265.58
2009-01-30,out_incl_losses,ch,204378076.63125
2009-01-31,in,ch,149753516.411
2009-01-31,out,ch,171227885.5
2009-01-31,out_incl_losses,ch,184209650.67925
2009-02-01,in,ch,142606803.451
2009-02-01,out,ch,160862405.726
2009-02-01,out_incl_losses,ch,181831446.6835
2009-02-02,in,ch,171591582.109
2009-02-02,out,ch,188374602.187
2009-02-02,out_incl_losses,ch,204770844.60925
2009-02-03,in,ch,163999522.168
2009-02-03,out,ch,188209474.784
2009-02-03,out_incl_losses,ch,203893731.338
2009-02-04,in,ch,167980577.377
2009-02-04,out,ch,186537915.141
2009-02-04,out_incl_losses,ch,203526175.8925
2009-02-05,in,ch,160876157.285
2009-02-05,out,ch,186141037.227
2009-02-05,out_incl_losses,ch,201768414.16025
2009-02-06,in,ch,160072019.354
2009-02-06,out,ch,182470000.706
2009-02-06,out_incl_losses,ch,198370206.196
2009-02-07,in,ch,144587512.081
2009-02-07,out,ch,162513910.874
2009-02-07,out_incl_losses,ch,177927978.549
2009-02-08,in,ch,137589086.502
2009-02-08,out,ch,153038727.472
2009-02-08,out_incl_losses,ch,171489010.5525
2009-02-09,in,ch,166843925.183
2009-02-09,out,ch,185172534.301
2009-02-09,out_incl_losses,ch,200773543.91575
2009-02-10,in,ch,160966037.116
2009-02-10,out,ch,186997656.35
2009-02-10,out_incl_losses,ch,202520583.9635
2009-02-11,in,ch,172308102.415
2009-02-11,out,ch,189002167.461
2009-02-11,out_incl_losses,ch,204611666.33475
2009-02-12,in,ch,174719124.241
2009-02-12,out,ch,191798043.158
2009-02-12,out_incl_losses,ch,206972672.4255
2009-02-13,in,ch,170094668.662
2009-02-13,out,ch,189522878.117
2009-02-13,out_incl_losses,ch,204751801.336
2009-02-14,in,ch,141900080.284
2009-02-14,out,ch,170315888.39
2009-02-14,out_incl_losses,ch,186957893.06325
2009-02-15,in,ch,136818830.65
2009-02-15,out,ch,159391193.623
2009-02-15,out_incl_losses,ch,178430748.722
2009-02-16,in,ch,167466208.283
2009-02-16,out,ch,189968554.844
2009-02-16,out_incl_losses,ch,205970920.9925
2009-02-17,in,ch,165376236.98
2009-02-17,out,ch,193826383.661
2009-02-17,out_incl_losses,ch,211221410.003
2009-02-18,in,ch,161716563.89
2009-02-18,out,ch,192667085.54
2009-02-18,out_incl_losses,ch,208700974.73725
2009-02-19,in,ch,161236349.633
2009-02-19,out,ch,194184180.209
2009-02-19,out_incl_losses,ch,209777981.44025
2009-02-20,in,ch,167579111.894
2009-02-20,out,ch,191757969.956
2009-02-20,out_incl_losses,ch,205835525.3525
2009-02-21,in,ch,136097072.541
2009-02-21,out,ch,164512895.926
2009-02-21,out_incl_losses,ch,179082362.01575
2009-02-22,in,ch,134709256.732
2009-02-22,out,ch,154031379.493
2009-02-22,out_incl_losses,ch,176368659.7535
2009-02-23,in,ch,165098394.979
2009-02-23,out,ch,183927024.678
2009-02-23,out_incl_losses,ch,201058559.6535
2009-02-24,in,ch,151744355.548
2009-02-24,out,ch,186659340.418
2009-02-24,out_incl_losses,ch,203135585.4855
2009-02-25,in,ch,162469326.964
2009-02-25,out,ch,186382983.507
2009-02-25,out_incl_losses,ch,201553563.93975
2009-02-26,in,ch,170695001.012
2009-02-26,out,ch,185819018.254
2009-02-26,out_incl_losses,ch,200877883.45525
2009-02-27,in,ch,163705977.659
