time,direction,rnwy,time_frame,value
2020-01-30,arrival,14,2200,0
2020-01-30,arrival,16,2200,0
2020-01-30,arrival,28,2200,9
2020-01-30,arrival,34,2200,0
2020-01-30,arrival,all,total,322
2020-01-31,arrival,14,2200,0
2020-01-31,arrival,16,2200,0
2020-01-31,arrival,28,2200,16
2020-01-31,arrival,34,2200,0
2020-01-31,arrival,all,total,334
2020-02-01,arrival,14,2200,0
2020-02-01,arrival,16,2200,0
2020-02-01,arrival,28,2200,8
2020-02-01,arrival,34,2200,0
2020-02-01,arrival,all,total,264
2020-02-02,arrival,14,0006,0
2020-02-02,arrival,14,0622,22
2020-02-02,arrival,14,2200,0
2020-02-02,arrival,16,0006,0
2020-02-02,arrival,16,0622,0
2020-02-02,arrival,16,2200,0
2020-02-02,arrival,28,0006,0
2020-02-02,arrival,28,0622,241
2020-02-02,arrival,28,2200,21
2020-02-02,arrival,34,0006,0
2020-02-02,arrival,34,0622,34
2020-02-02,arrival,34,2200,0
2020-02-02,arrival,all,total,318
2020-02-03,arrival,14,0006,0
2020-02-03,arrival,14,0622,0
2020-02-03,arrival,14,2200,0
2020-02-03,arrival,16,0006,0
2020-02-03,arrival,16,0622,0
2020-02-03,arrival,16,2200,0
2020-02-03,arrival,28,0006,0
2020-02-03,arrival,28,0622,321
2020-02-03,arrival,28,2200,9
2020-02-03,arrival,34,0006,0
2020-02-03,arrival,34,0622,0
2020-02-03,arrival,34,2200,0
2020-02-03,arrival,all,total,330
2020-02-04,arrival,14,0006,0
2020-02-04,arrival,14,0622,0
2020-02-04,arrival,14,2200,0
2020-02-04,arrival,16,0006,0
2020-02-04,arrival,16,0622,0
2020-02-04,arrival,16,2200,0
2020-02-04,arrival,28,0006,0
2020-02-04,arrival,28,0622,285
2020-02-04,arrival,28,2200,9
2020-02-04,arrival,34,0006,0
2020-02-04,arrival,34,0622,16
2020-02-04,arrival,34,2200,0
2020-02-04,arrival,all,total,310
2020-02-05,arrival,14,0006,0
2020-02-05,arrival,14,0622,139
2020-02-05,arrival,14,2200,0
2020-02-05,arrival,16,0006,0
2020-02-05,arrival,16,0622,0
2020-02-05,arrival,16,2200,0
2020-02-05,arrival,28,0006,0
2020-02-05,arrival,28,0622,161
2020-02-05,arrival,28,2200,14
2020-02-05,arrival,34,0006,0
2020-02-05,arrival,34,0622,16
2020-02-05,arrival,34,2200,0
2020-02-05,arrival,all,total,330
2020-02-06,arrival,14,0006,0
2020-02-06,arrival,14,0622,274
2020-02-06,arrival,14,2200,0
2020-02-06,arrival,16,0006,0
2020-02-06,arrival,16,0622,0
2020-02-06,arrival,16,2200,0
2020-02-06,arrival,28,0006,0
2020-02-06,arrival,28,0622,25
2020-02-06,arrival,28,2200,10
2020-02-06,arrival,34,0006,0
2020-02-06,arrival,34,0622,15
2020-02-06,arrival,34,2200,0
2020-02-06,arrival,all,total,324
2020-02-07,arrival,14,0006,0
2020-02-07,arrival,14,0622,288
2020-02-07,arrival,14,2200,0
2020-02-07,arrival,16,0006,0
2020-02-07,arrival,16,0622,0
2020-02-07,arrival,16,2200,0
2020-02-07,arrival,28,0006,0
2020-02-07,arrival,28,0622,25
2020-02-07,arrival,28,2200,17
2020-02-07,arrival,34,0006,0
2020-02-07,arrival,34,0622,14
2020-02-07,arrival,34,2200,0
2020-02-07,arrival,all,total,344
2020-02-08,arrival,14,0006,0
