time,direction,rnwy,route,value
2020-01-30,departure,10,A,0
2020-01-30,departure,10,B,0
2020-01-30,departure,10,C,0
2020-01-30,departure,10,D,0
2020-01-30,departure,16,E,16
2020-01-30,departure,16,F,15
2020-01-30,departure,16,G,0
2020-01-30,departure,28,I,139
2020-01-30,departure,28,K,119
2020-01-30,departure,28,L,0
2020-01-30,departure,32,N,19
2020-01-30,departure,32,O,3
2020-01-30,departure,34,N,4
2020-01-30,departure,34,O,2
2020-01-30,departure,all,total,317
2020-01-31,departure,10,A,0
2020-01-31,departure,10,B,0
2020-01-31,departure,10,C,0
2020-01-31,departure,10,D,0
2020-01-31,departure,16,E,18
2020-01-31,departure,16,F,15
2020-01-31,departure,16,G,0
2020-01-31,departure,28,I,146
2020-01-31,departure,28,K,127
2020-01-31,departure,28,L,0
2020-01-31,departure,32,N,22
2020-01-31,departure,32,O,4
2020-01-31,departure,34,N,4
2020-01-31,departure,34,O,0
2020-01-31,departure,all,total,336
2020-02-01,departure,10,A,0
2020-02-01,departure,10,B,0
2020-02-01,departure,10,C,0
2020-02-01,departure,10,D,0
2020-02-01,departure,16,E,18
2020-02-01,departure,16,F,15
2020-02-01,departure,16,G,0
2020-02-01,departure,28,I,57
2020-02-01,departure,28,K,56
2020-02-01,departure,28,L,0
2020-02-01,departure,32,N,91
2020-02-01,departure,32,O,29
2020-02-01,departure,34,N,6
2020-02-01,departure,34,O,2
2020-02-01,departure,all,total,274
2020-02-02,departure,10,A,0
2020-02-02,departure,10,B,0
2020-02-02,departure,10,C,0
2020-02-02,departure,10,D,0
2020-02-02,departure,16,E,3
2020-02-02,departure,16,F,2
2020-02-02,departure,16,G,0
2020-02-02,departure,28,I,9
2020-02-02,departure,28,K,5
2020-02-02,departure,28,L,0
2020-02-02,departure,32,N,229
2020-02-02,departure,32,O,45
2020-02-02,departure,34,N,13
2020-02-02,departure,34,O,4
2020-02-02,departure,all,total,310
2020-02-03,departure,10,A,0
2020-02-03,departure,10,B,0
2020-02-03,departure,10,C,0
2020-02-03,departure,10,D,0
2020-02-03,departure,16,E,0
2020-02-03,departure,16,F,0
2020-02-03,departure,16,G,0
2020-02-03,departure,28,I,0
2020-02-03,departure,28,K,0
2020-02-03,departure,28,L,0
2020-02-03,departure,32,N,300
2020-02-03,departure,32,O,29
2020-02-03,departure,34,N,7
2020-02-03,departure,34,O,2
2020-02-03,departure,all,total,338
2020-02-04,departure,10,A,0
2020-02-04,departure,10,B,0
2020-02-04,departure,10,C,0
2020-02-04,departure,10,D,0
2020-02-04,departure,16,E,0
2020-02-04,departure,16,F,0
2020-02-04,departure,16,G,0
2020-02-04,departure,28,I,0
2020-02-04,departure,28,K,0
2020-02-04,departure,28,L,0
2020-02-04,departure,32,N,274
2020-02-04,departure,32,O,25
2020-02-04,departure,34,N,5
2020-02-04,departure,34,O,0
2020-02-04,departure,all,total,304
2020-02-05,departure,10,A,0
2020-02-05,departure,10,B,0
2020-02-05,departure,10,C,0
2020-02-05,departure,10,D,0
2020-02-05,departure,16,E,3
2020-02-05,departure,16,F,2
2020-02-05,departure,16,G,0
2020-02-05,departure,28,I,47
2020-02-05,departure,28,K,56
2020-02-05,departure,28,L,0
2020-02-05,departure,32,N,176
2020-02-05,departure,32,O,27
2020-02-05,departure,34,N,3
2020-02-05,departure,34,O,1
2020-02-05,departure,all,total,315
2020-02-06,departure,10,A,0
2020-02-06,departure,10,B,0
2020-02-06,departure,10,C,0
2020-02-06,departure,10,D,0
2020-02-06,departure,16,E,14
2020-02-06,departure,16,F,14
2020-02-06,departure,16,G,0
2020-02-06,departure,28,I,142
2020-02-06,departure,28,K,129
2020-02-06,departure,28,L,0
2020-02-06,departure,32,N,25
2020-02-06,departure,32,O,4
2020-02-06,departure,34,N,3
2020-02-06,departure,34,O,0
2020-02-06,departure,all,total,331
2020-02-07,departure,10,A,0
2020-02-07,departure,10,B,0
2020-02-07,departure,10,C,0
2020-02-07,departure,10,D,0
2020-02-07,departure,16,E,17
2020-02-07,departure,16,F,17
2020-02-07,departure,16,G,0
2020-02-07,departure,28,I,157
2020-02-07,departure,28,K,127
2020-02-07,departure,28,L,0
2020-02-07,departure,32,N,17
2020-02-07,departure,32,O,7
2020-02-07,departure,34,N,2
2020-02-07,departure,34,O,0
2020-02-07,departure,all,total,344
2020-02-08,departure,10,A,0
2020-02-08,departure,10,B,0
2020-02-08,departure,10,C,0
2020-02-08,departure,10,D,0
2020-02-08,departure,16,E,14
2020-02-08,departure,16,F,21
2020-02-08,departure,16,G,0
2020-02-08,departure,28,I,96
2020-02-08,departure,28,K,77
2020-02-08,departure,28,L,0
2020-02-08,departure,32,N,39
2020-02-08,departure,32,O,34
2020-02-08,departure,34,N,5
2020-02-08,departure,34,O,0
2020-02-08,departure,all,total,286
2020-02-09,departure,10,A,0
2020-02-09,departure,10,B,0
2020-02-09,departure,10,C,0
2020-02-09,departure,10,D,0
2020-02-09,departure,16,E,12
2020-02-09,departure,16,F,13
2020-02-09,departure,16,G,0
2020-02-09,departure,28,I,60
2020-02-09,departure,28,K,40
2020-02-09,departure,28,L,0
2020-02-09,departure,32,N,126
2020-02-09,departure,32,O,21
2020-02-09,departure,34,N,5
2020-02-09,departure,34,O,1
2020-02-09,departure,all,total,278
2020-02-10,departure,10,A,0
2020-02-10,departure,10,B,0
2020-02-10,departure,10,C,0
2020-02-10,departure,10,D,0
2020-02-10,departure,16,E,0
2020-02-10,departure,16,F,0
2020-02-10,departure,16,G,0
2020-02-10,departure,28,I,8
2020-02-10,departure,28,K,13
2020-02-10,departure,28,L,0
2020-02-10,departure,32,N,215
2020-02-10,departure,32,O,3
2020-02-10,departure,34,N,3
2020-02-10,departure,34,O,0
2020-02-10,departure,all,total,242
2020-02-11,departure,10,A,0
2020-02-11,departure,10,B,0
2020-02-11,departure,10,C,0
2020-02-11,departure,10,D,0
2020-02-11,departure,16,E,0
2020-02-11,departure,16,F,0
2020-02-11,departure,16,G,0
2020-02-11,departure,28,I,0
2020-02-11,departure,28,K,0
2020-02-11,departure,28,L,0
2020-02-11,departure,32,N,260
2020-02-11,departure,32,O,31
2020-02-11,departure,34,N,5
2020-02-11,departure,34,O,0
2020-02-11,departure,all,total,296
2020-02-12,departure,10,A,0
2020-02-12,departure,10,B,0
2020-02-12,departure,10,C,0
2020-02-12,departure,10,D,0
2020-02-12,departure,16,E,0
2020-02-12,departure,16,F,0
2020-02-12,departure,16,G,0
2020-02-12,departure,28,I,0
2020-02-12,departure,28,K,0
2020-02-12,departure,28,L,0
2020-02-12,departure,32,N,246
2020-02-12,departure,32,O,62
2020-02-12,departure,34,N,3
2020-02-12,departure,34,O,2
2020-02-12,departure,all,total,313
2020-02-13,departure,10,A,0
2020-02-13,departure,10,B,0
2020-02-13,departure,10,C,0
2020-02-13,departure,10,D,0
2020-02-13,departure,16,E,12
2020-02-13,departure,16,F,12
2020-02-13,departure,16,G,0
2020-02-13,departure,28,I,92
2020-02-13,departure,28,K,70
2020-02-13,departure,28,L,0
2020-02-13,departure,32,N,118
2020-02-13,departure,32,O,2
2020-02-13,departure,34,N,4
2020-02-13,departure,34,O,0
2020-02-13,departure,all,total,310
2020-02-14,departure,10,A,0
2020-02-14,departure,10,B,0
2020-02-14,departure,10,C,0
2020-02-14,departure,10,D,0
2020-02-14,departure,16,E,17
2020-02-14,departure,16,F,13
2020-02-14,departure,16,G,0
2020-02-14,departure,28,I,146
2020-02-14,departure,28,K,130
2020-02-14,departure,28,L,0
2020-02-14,departure,32,N,34
2020-02-14,departure,32,O,8
2020-02-14,departure,34,N,2
2020-02-14,departure,34,O,1
2020-02-14,departure,all,total,351
2020-02-15,departure,10,A,0
2020-02-15,departure,10,B,0
2020-02-15,departure,10,C,0
2020-02-15,departure,10,D,0
2020-02-15,departure,16,E,19
2020-02-15,departure,16,F,17
2020-02-15,departure,16,G,0
2020-02-15,departure,28,I,99
2020-02-15,departure,28,K,94
2020-02-15,departure,28,L,0
2020-02-15,departure,32,N,38
2020-02-15,departure,32,O,21
2020-02-15,departure,34,N,4
2020-02-15,departure,34,O,0
2020-02-15,departure,all,total,292
2020-02-16,departure,10,A,0
2020-02-16,departure,10,B,0
2020-02-16,departure,10,C,0
2020-02-16,departure,10,D,0
2020-02-16,departure,16,E,17
2020-02-16,departure,16,F,18
2020-02-16,departure,16,G,0
2020-02-16,departure,28,I,107
2020-02-16,departure,28,K,103
2020-02-16,departure,28,L,0
2020-02-16,departure,32,N,54
2020-02-16,departure,32,O,17
2020-02-16,departure,34,N,2
2020-02-16,departure,34,O,1
2020-02-16,departure,all,total,319
2020-02-17,departure,10,A,0
2020-02-17,departure,10,B,0
2020-02-17,departure,10,C,0
2020-02-17,departure,10,D,0
2020-02-17,departure,16,E,10
2020-02-17,departure,16,F,5
