time,id,value
2020-01-01 00:00:00,Z001M001,80
2020-01-01 00:00:00,Z001M002,51
2020-01-01 00:00:00,Z002M001,61
2020-01-01 00:00:00,Z002M002,40
2020-01-01 00:00:00,Z003M001,49
2020-01-01 00:00:00,Z003M002,41
2020-01-01 00:00:00,Z004M001,70
2020-01-01 00:00:00,Z004M002,30
2020-01-01 00:00:00,Z005M001,16
2020-01-01 00:00:00,Z005M002,14
2020-01-01 00:00:00,Z006M001,105
2020-01-01 00:00:00,Z006M002,68
2020-01-01 00:00:00,Z007M001,91
2020-01-01 00:00:00,Z007M002,72
2020-01-01 00:00:00,Z008M001,72
2020-01-01 00:00:00,Z008M002,48
2020-01-01 00:00:00,Z009M001,58
2020-01-01 00:00:00,Z009M002,35
2020-01-01 00:00:00,Z010M001,156
2020-01-01 00:00:00,Z010M002,132
2020-01-01 00:00:00,Z011M001,172
2020-01-01 00:00:00,Z011M002,141
2020-01-01 00:00:00,Z013M001,75
2020-01-01 00:00:00,Z013M002,120
2020-01-01 00:00:00,Z014M001,57
2020-01-01 00:00:00,Z014M002,48
2020-01-01 00:00:00,Z015M001,90
2020-01-01 00:00:00,Z015M002,44
2020-01-01 00:00:00,Z016M003,145
2020-01-01 00:00:00,Z016M004,125
2020-01-01 00:00:00,Z017M001,38
2020-01-01 00:00:00,Z017M002,51
2020-01-01 00:00:00,Z018M001,39
2020-01-01 00:00:00,Z018M002,20
2020-01-01 00:00:00,Z019M001,44
2020-01-01 00:00:00,Z019M002,16
2020-01-01 00:00:00,Z020M001,92
2020-01-01 00:00:00,Z020M002,44
2020-01-01 00:00:00,Z021M001,133
2020-01-01 00:00:00,Z021M002,129
2020-01-01 00:00:00,Z022M001,106
2020-01-01 00:00:00,Z022M002,76
2020-01-01 00:00:00,Z025M001,103
2020-01-01 00:00:00,Z025M002,71
2020-01-01 00:00:00,Z026M001,494
2020-01-01 00:00:00,Z026M002,338
2020-01-01 00:00:00,Z027M001,124
2020-01-01 00:00:00,Z028M001,142
2020-01-01 00:00:00,Z028M002,146
2020-01-01 00:00:00,Z029M001,218
2020-01-01 00:00:00,Z029M002,261
2020-01-01 00:00:00,Z030M001,84
2020-01-01 00:00:00,Z030M002,104
2020-01-01 00:00:00,Z031M001,263
2020-01-01 00:00:00,Z031M002,273
2020-01-01 00:00:00,Z032M001,114
2020-01-01 00:00:00,Z032M002,86
2020-01-01 00:00:00,Z033M001,324
2020-01-01 00:00:00,Z033M002,329
2020-01-01 00:00:00,Z034M001,48
2020-01-01 00:00:00,Z034M002,61
2020-01-01 00:00:00,Z035M001,35
2020-01-01 00:00:00,Z035M002,31
2020-01-01 00:00:00,Z036M001,44
2020-01-01 00:00:00,Z036M002,34
2020-01-01 00:00:00,Z037M001,31
2020-01-01 00:00:00,Z037M002,30
2020-01-01 00:00:00,Z038M001,517
2020-01-01 00:00:00,Z038M002,315
2020-01-01 00:00:00,Z039M004,301
2020-01-01 00:00:00,Z040M001,280
2020-01-01 00:00:00,Z040M002,209
2020-01-01 00:00:00,Z041M001,189
2020-01-01 00:00:00,Z041M002,203
2020-01-01 00:00:00,Z042M002,39
2020-01-01 00:00:00,Z043M001,180
2020-01-01 00:00:00,Z043M002,126
2020-01-01 00:00:00,Z044M001,276
2020-01-01 00:00:00,Z044M002,188
2020-01-01 00:00:00,Z045M001,159
2020-01-01 00:00:00,Z045M002,119
2020-01-01 00:00:00,Z046M001,97
2020-01-01 00:00:00,Z046M002,46
2020-01-01 00:00:00,Z047M001,43
2020-01-01 00:00:00,Z047M002,47
2020-01-01 00:00:00,Z048M001,124
2020-01-01 00:00:00,Z048M002,142
2020-01-01 00:00:00,Z049M001,119
2020-01-01 00:00:00,Z049M002,112
2020-01-01 00:00:00,Z050M001,124
2020-01-01 00:00:00,Z050M002,125
2020-01-01 00:00:00,Z051M001,26
2020-01-01 00:00:00,Z051M002,15
2020-01-01 00:00:00,Z052M001,358
2020-01-01 00:00:00,Z052M002,219
2020-01-01 00:00:00,Z053M001,154
2020-01-01 00:00:00,Z053M002,168
2020-01-01 00:00:00,Z054M001,64
2020-01-01 00:00:00,Z054M002,58
2020-01-01 00:00:00,Z055M001,20
2020-01-01 00:00:00,Z055M002,22
2020-01-01 00:00:00,Z056M003,8
2020-01-01 00:00:00,Z056M004,7
2020-01-01 00:00:00,Z057M001,16
2020-01-01 00:00:00,Z057M002,40
2020-01-01 00:00:00,Z058M001,124
2020-01-01 00:00:00,Z058M002,54
2020-01-01 00:00:00,Z059M001,190
2020-01-01 00:00:00,Z059M002,274
2020-01-01 00:00:00,Z060M005,26
2020-01-01 00:00:00,Z060M006,26
2020-01-01 00:00:00,Z061M001,122
2020-01-01 00:00:00,Z061M002,110
2020-01-01 00:00:00,Z062M001,13
2020-01-01 00:00:00,Z062M002,5
2020-01-01 00:00:00,Z063M001,90
2020-01-01 00:00:00,Z063M002,87
2020-01-01 00:00:00,Z064M003,41
2020-01-01 00:00:00,Z064M004,50
