time,geo,variable,value
2020-02-29,zrh_heub,no2,7.27
2020-02-29,zrh_heub,o3_max_h,86.84
2020-02-29,zrh_rsgrt,kbi,1
2020-02-29,zrh_rsgrt,kbi_no2,1
2020-02-29,zrh_rsgrt,kbi_o3,1
2020-02-29,zrh_rsgrt,kbi_pm10,1
2020-02-29,zrh_rsgrt,no2,40.46
2020-02-29,zrh_rsgrt,o3_max_h,67.06
2020-02-29,zrh_rsgrt,pm10,14.59
2020-02-29,zrh_schmls,kbi,1
2020-02-29,zrh_schmls,kbi_no2,1
2020-02-29,zrh_schmls,kbi_o3,1
2020-02-29,zrh_schmls,kbi_pm10,1
2020-02-29,zrh_schmls,no2,27.07
2020-02-29,zrh_schmls,o3_max_h,83.88
2020-02-29,zrh_schmls,pm10,12.75
2020-02-29,zrh_stmpf,kbi,1
2020-02-29,zrh_stmpf,kbi_no2,1
2020-02-29,zrh_stmpf,kbi_o3,1
2020-02-29,zrh_stmpf,kbi_pm10,1
2020-02-29,zrh_stmpf,no2,21.09
2020-02-29,zrh_stmpf,o3_max_h,83.76
2020-02-29,zrh_stmpf,p,954.78
2020-02-29,zrh_stmpf,pm10,9.58
2020-02-29,zrh_stmpf,t,8.96
2020-03-01,zrh_heub,no2,3.59
2020-03-01,zrh_heub,o3_max_h,91.84
2020-03-01,zrh_rsgrt,kbi,1
2020-03-01,zrh_rsgrt,kbi_no2,1
2020-03-01,zrh_rsgrt,kbi_o3,1
2020-03-01,zrh_rsgrt,kbi_pm10,1
2020-03-01,zrh_rsgrt,no2,22.74
2020-03-01,zrh_rsgrt,o3_max_h,85.13
2020-03-01,zrh_rsgrt,pm10,6.71
2020-03-01,zrh_schmls,kbi,1
2020-03-01,zrh_schmls,kbi_no2,1
2020-03-01,zrh_schmls,kbi_o3,1
2020-03-01,zrh_schmls,kbi_pm10,1
2020-03-01,zrh_schmls,no2,12.22
2020-03-01,zrh_schmls,o3_max_h,88.59
2020-03-01,zrh_schmls,pm10,4.4
2020-03-01,zrh_stmpf,kbi,2
2020-03-01,zrh_stmpf,kbi_no2,1
2020-03-01,zrh_stmpf,kbi_o3,2
2020-03-01,zrh_stmpf,kbi_pm10,1
2020-03-01,zrh_stmpf,no2,8.3
2020-03-01,zrh_stmpf,o3_max_h,90.24
2020-03-01,zrh_stmpf,p,951.99
2020-03-01,zrh_stmpf,pm10,4.22
2020-03-01,zrh_stmpf,t,8.7
2020-03-02,zrh_heub,no2,11.62
2020-03-02,zrh_heub,o3_max_h,79.8
2020-03-02,zrh_rsgrt,kbi,1
2020-03-02,zrh_rsgrt,kbi_no2,1
2020-03-02,zrh_rsgrt,kbi_o3,1
2020-03-02,zrh_rsgrt,kbi_pm10,1
2020-03-02,zrh_rsgrt,no2,42.48
2020-03-02,zrh_rsgrt,o3_max_h,69.38
2020-03-02,zrh_rsgrt,pm10,10.22
2020-03-02,zrh_schmls,kbi,1
2020-03-02,zrh_schmls,kbi_no2,1
2020-03-02,zrh_schmls,kbi_o3,1
2020-03-02,zrh_schmls,kbi_pm10,1
2020-03-02,zrh_schmls,no2,37.76
2020-03-02,zrh_schmls,o3_max_h,74.38
2020-03-02,zrh_schmls,pm10,8.49
2020-03-02,zrh_stmpf,kbi,1
2020-03-02,zrh_stmpf,kbi_no2,1
2020-03-02,zrh_stmpf,kbi_o3,1
2020-03-02,zrh_stmpf,kbi_pm10,1
2020-03-02,zrh_stmpf,no2,28.11
2020-03-02,zrh_stmpf,o3_max_h,74.25
2020-03-02,zrh_stmpf,p,943.62
2020-03-02,zrh_stmpf,pm10,5.58
2020-03-02,zrh_stmpf,t,6.19
2020-03-03,zrh_heub,no2,8.77
2020-03-03,zrh_heub,o3_max_h,83.56
2020-03-03,zrh_rsgrt,kbi,1
2020-03-03,zrh_rsgrt,kbi_no2,1
2020-03-03,zrh_rsgrt,kbi_o3,1
2020-03-03,zrh_rsgrt,kbi_pm10,1
2020-03-03,zrh_rsgrt,no2,43.37
2020-03-03,zrh_rsgrt,o3_max_h,70.58
2020-03-03,zrh_rsgrt,pm10,9.05
2020-03-03,zrh_schmls,kbi,1
2020-03-03,zrh_schmls,kbi_no2,1
2020-03-03,zrh_schmls,kbi_o3,1
2020-03-03,zrh_schmls,kbi_pm10,1
2020-03-03,zrh_schmls,no2,31
2020-03-03,zrh_schmls,o3_max_h,72.13
2020-03-03,zrh_schmls,pm10,7.25
2020-03-03,zrh_stmpf,kbi,1
2020-03-03,zrh_stmpf,kbi_no2,1
2020-03-03,zrh_stmpf,kbi_o3,1
2020-03-03,zrh_stmpf,kbi_pm10,1
2020-03-03,zrh_stmpf,no2,21.5
2020-03-03,zrh_stmpf,o3_max_h,82.01
2020-03-03,zrh_stmpf,p,954.65
2020-03-03,zrh_stmpf,pm10,5.54
2020-03-03,zrh_stmpf,t,5.51
2020-03-04,zrh_heub,no2,12.6
2020-03-04,zrh_heub,o3_max_h,78.45
2020-03-04,zrh_rsgrt,kbi,1
2020-03-04,zrh_rsgrt,kbi_no2,1
2020-03-04,zrh_rsgrt,kbi_o3,1
2020-03-04,zrh_rsgrt,kbi_pm10,1
2020-03-04,zrh_rsgrt,no2,47.69
2020-03-04,zrh_rsgrt,o3_max_h,57.51
2020-03-04,zrh_rsgrt,pm10,11.17
2020-03-04,zrh_schmls,kbi,1
2020-03-04,zrh_schmls,kbi_no2,1
2020-03-04,zrh_schmls,kbi_o3,1
2020-03-04,zrh_schmls,kbi_pm10,1
2020-03-04,zrh_schmls,no2,41.94
2020-03-04,zrh_schmls,o3_max_h,66.63
2020-03-04,zrh_schmls,pm10,9.73
2020-03-04,zrh_stmpf,kbi,1
