time,sa,value
2008-01-01,nsa,8.2
2008-01-01,sa,83.8
2008-01-02,nsa,80.1
2008-01-02,sa,111.7
2008-01-03,nsa,98.9
2008-01-03,sa,112.6
2008-01-04,nsa,91.6
2008-01-04,sa,104.2
2008-01-05,nsa,37.5
2008-01-05,sa,83.3
2008-01-06,nsa,16
2008-01-06,sa,87.8
2008-01-07,nsa,115.6
2008-01-07,sa,108.7
2008-01-08,nsa,133
2008-01-08,sa,102.7
2008-01-09,nsa,135.2
2008-01-09,sa,100.7
2008-01-10,nsa,133.3
2008-01-10,sa,99.7
2008-01-11,nsa,114.4
2008-01-11,sa,101.5
2008-01-12,nsa,41.8
2008-01-12,sa,103.4
2008-01-13,nsa,16.5
2008-01-13,sa,102.8
2008-01-14,nsa,123.8
2008-01-14,sa,101.4
2008-01-15,nsa,139
2008-01-15,sa,101.6
2008-01-16,nsa,140
2008-01-16,sa,100.9
2008-01-17,nsa,136.7
2008-01-17,sa,100.9
2008-01-18,nsa,117.3
2008-01-18,sa,101.4
2008-01-19,nsa,42.4
2008-01-19,sa,101.4
2008-01-20,nsa,16.3
2008-01-20,sa,100.6
2008-01-21,nsa,123.9
2008-01-21,sa,101.1
2008-01-22,nsa,138.4
2008-01-22,sa,100.5
2008-01-23,nsa,140.3
2008-01-23,sa,101.1
2008-01-24,nsa,137.1
2008-01-24,sa,101.1
2008-01-25,nsa,116.6
2008-01-25,sa,101.1
2008-01-26,nsa,41.5
2008-01-26,sa,100.4
2008-01-27,nsa,16
2008-01-27,sa,100.8
2008-01-28,nsa,124.5
2008-01-28,sa,101.8
2008-01-29,nsa,138.7
2008-01-29,sa,101.1
2008-01-30,nsa,139.9
2008-01-30,sa,100.6
2008-01-31,nsa,136.6
2008-01-31,sa,100.9
2008-02-01,nsa,114.9
2008-02-01,sa,100
2008-02-02,nsa,41.2
2008-02-02,sa,101.1
2008-02-03,nsa,15.5
2008-02-03,sa,101
2008-02-04,nsa,113.3
2008-02-04,sa,99.2
